Depart;Arrivee;Distance;Tensions;Gabarit;Commentaire;Exploitee
Mannheim Hbf;Frankfurt am Main Hbf;84 km;15kVac;Gabarit continental;Riedbahn;
Strasbourg-Ville;Mommenheim;22 km;25kVac;Gabarit continental;;
Sarreguemines;Mommenheim;73 km;Non-electrifie;Gabarit continental;;
Strasbourg-Ville;Sarreguemines;96 km;Non-electrifie;Gabarit continental;;
Strasbourg-Ville;Saverne;44 km;25kVac;Gabarit continental;;
Mommenheim;Saverne;22 km;25kVac;Gabarit continental;;
Saverne;Reding;23 km;25kVac;Gabarit continental;;
Strasbourg-Ville;Reding;67 km;25kVac;Gabarit continental;;
Reding;Sarrebourg;3 km;25kVac;Gabarit continental;;
Saverne;Sarrebourg;26 km;25kVac;Gabarit continental;;
Strasbourg-Ville;Sarrebourg;70 km;25kVac;Gabarit continental;;
Sarrebourg;Lunéville;47 km;25kVac;Gabarit continental;;
Lunéville;Nancy-Ville;33 km;25kVac;Gabarit continental;;
Sarrebourg;Nancy-Ville;79 km;25kVac;Gabarit continental;;
Saverne;Nancy-Ville;106 km;25kVac;Gabarit continental;;
Strasbourg-Ville;Nancy-Ville;150 km;25kVac;Gabarit continental;;
Metz-Ville;Reding;87 km;25kVac;Gabarit continental;;
Metz-Ville;Sarrebourg;89 km;25kVac;Gabarit continental;;
Metz-Ville;Nancy-Ville;168 km;25kVac;Gabarit continental;Via Sarrebourg;
Strasbourg-Ville;Metz-Ville;154 km;25kVac;Gabarit continental;;
Metz-Ville;Nancy-Ville;56 km;25kVac;Gabarit continental;Via Pont-à-Mousson;
Vierzon-Ville;Villefranche-sur-Cher;23 km;Non-electrifie;Gabarit continental;;
Villefranche-sur-Cher;Romorantin;8 km;Non-electrifie;Gabarit continental;;
Villefranche-sur-Cher;Gièvres;8 km;Non-electrifie;Gabarit continental;;
St Pierre des Corps;Gièvres;77 km;Non-electrifie;Gabarit continental;;
St Pierre des Corps;Villefranche-sur-Cher;85 km;Non-electrifie;Gabarit continental;;
St Pierre des Corps;Vierzon-Ville;107 km;Non-electrifie;Gabarit continental;;
Tours;Vierzon-Ville;111 km;Non-electrifie;Gabarit continental;;
Romorantin;Gièvres;5 km;Non-electrifie;Ecartement metrique;;
Paris Gare de Lyon;Paris Nation;2 km;1.5kVcc;Gabarit continental;;
Paris Nation;Boissy St Léger;19 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Boissy St Léger;21 km;1.5kVcc;Gabarit continental;;
Paris Est;Gretz-Armainvilliers;38 km;25kVac;Gabarit continental;;
Paris Est;Verneuil l\'Étang;54 km;Non-electrifie;Gabarit continental;;
Verneuil l\'Étang;Gretz-Armainvilliers;16 km;Non-electrifie;Gabarit continental;;
Frankfurt am Main Hbf;Frankfurt Höchst;9 km;15kVac;Gabarit continental;Via Taunus Eisenbahn;
Frankfurt am Main Hbf;Frankfurt Höchst;9 km;15kVac;Gabarit continental;Via Main-Lahn-Bahn;
Frankfurt Höchst;Königstein im Taunus;16 km;Non-electrifie;Gabarit continental;;
Frankfurt am Main Hbf;Königstein im Taunus;25 km;Non-electrifie;Gabarit continental;Via Taunus Eisenbahn;
Frankfurt am Main Hbf;Königstein im Taunus;25 km;Non-electrifie;Gabarit continental;Via Main-Lahn-Bahn;
Frankfurt Höchst;Wiesbaden Ost;32 km;15kVac;Gabarit continental;;
Frankfurt am Main Hbf;Wiesbaden Ost;41 km;15kVac;Gabarit continental;Via taunus Eisenbahn;
Frankfurt am Main Hbf;Wiesbaden Ost;41 km;15kVac;Gabarit continental;Via Main-Lahn-Bahn & Taunus Eisenbahn;
Frankfurt am Main Hbf;Wiesbaden Hbf;46 km;15kVac;Gabarit continental;Via Taunus Eisenbahn;
Frankfurt am Main Hbf;Wiesbaden Hbf;46 km;15kVac;Gabarit continental;Via Taunus Eisenbahn & Main-Lahn-Bahn;
Wiesbaden Ost;Wiesbaden Hbf;3 km;15kVac;Gabarit continental;;
Wiesbaden Ost;Mainz Hbf;13 km;15kVac;Gabarit continental;;
Wiesbaden Hbf;Mainz Hbf;16 km;15kVac;Gabarit continental;;
Frankfurt am Main Hbf;Mainz Hbf;38 km;15kVac;Gabarit continental;;
Frankfurt am Main Flughafen;Mainz Hbf;28 km;15kVac;Gabarit continental;;
Toulouse-Matabiau;Toulouse-St-Cyprien-Arènes;10 km;Non-electrifie;Gabarit continental;;
Toulouse-St-Cyprien-Arènes;Colomiers;7 km;Non-electrifie;Gabarit continental;;
Colomiers;Auch;72 km;Non-electrifie;Gabarit continental;;
Toulouse-Matabiau;Auch;88 km;Non-electrifie;Gabarit continental;;
Paris St-Lazare;Pont-Cardinet;2 km;25kVac;Gabarit continental;;
Pont-Cardinet;Asnières-sur-Seine;3 km;25kVac;Gabarit continental;;
Asnières-sur-Seine;Bécon-les-Bruyères;1 km;25kVac;Gabarit continental;;
Bécon-les-Bruyères;La Défense;3 km;25kVac;Gabarit continental;;
Puteaux;La Défense;1 km;25kVac;Gabarit continental;;
Bruxelles-Midi;Bruxelles-Nord;4 km;3kVcc;Gabarit continental;;
Puteaux;St-Cloud;6 km;25kVac;Gabarit continental;;
Chaville Rive-Droite;St-Cloud;10 km;25kVac;Gabarit continental;;
Chaville Rive-Droite;Versailles Rive-Droite;4 km;25kVac;Gabarit continental;;
Paris St-Lazare;Asnières-sur-Seine;5 km;25kVac;Gabarit continental;;
Paris St-Lazare;Bécon-les-Bruyères;6 km;25kVac;Gabarit continental;;
Paris St-Lazare;La Défense;8 km;25kVac;Gabarit continental;;
Paris St-Lazare;St-Cloud;15 km;25kVac;Gabarit continental;;
Paris St-Lazare;Versailles Rive-Droite;30 km;25kVac;Gabarit continental;;
La Défense;Versailles Rive-Droite;22 km;25kVac;Gabarit continental;;
La Défense;Charles de Gaulle - Étoile;5 km;1.5kVcc;Gabarit continental;;
Charles de Gaulle - Étoile;Auber;3 km;1.5kVcc;Gabarit continental;;
La Défense;Auber;7 km;1.5kVcc;Gabarit continental;;
La Défense;Nanterre Préfecture;1 km;1.5kVcc;Gabarit continental;;
Nanterre Préfecture;Nanterre-Université;1 km;1.5kVcc;Gabarit continental;;
La Défense;Nanterre-Université;3 km;1.5kVcc;Gabarit continental;;
Paris St-Lazare;Nanterre-Université;8 km;25kVac;Gabarit continental;;
Nanterre-Université;Rueil-Malmaison;4 km;1.5kVcc;Gabarit continental;;
Rueil-Malmaison;St-Germain-en-Laye;7 km;1.5kVcc;Gabarit continental;;
Châtelet - Les Halles;Auber;2 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Auber;5 km;1.5kVcc;Gabarit continental;;
Mantes-la-Jolie;Vernon-Giverny;23 km;25kVac;Gabarit continental;;
Paris St-Lazare;Vernon-Giverny;80 km;25kVac;Gabarit continental;;
Rouen Rive Droite;Vernon-Giverny;60 km;25kVac;Gabarit continental;;
Rouen Rive Droite;Malaunay-le-Houlme;9 km;25kVac;Gabarit continental;;
Malaunay-le-Houlme;Barentin;8 km;25kVac;Gabarit continental;;
Rouen Rive Droite;Barentin;17 km;25kVac;Gabarit continental;;
Barentin;Motteville;13 km;25kVac;Gabarit continental;;
Rouen Rive Droite;Motteville;30 km;25kVac;Gabarit continental;;
Motteville;Yvetot;7 km;25kVac;Gabarit continental;;
Rouen Rive Droite;Yvetot;30 km;25kVac;Gabarit continental;;
Yvetot;Bréauté-Beuzeville;25 km;25kVac;Gabarit continental;;
Rouen Rive Droite;Bréauté-Beuzeville;63 km;25kVac;Gabarit continental;;
Malaunay-le-Houlme;Dieppe;19 km;Non-electrifie;Gabarit continental;;
Rouen Rive Droite;Dieppe;28 km;Non-electrifie;Gabarit continental;;
Le Havre;Bréauté-Beuzeville;26 km;25kVac;Gabarit continental;;
Lausanne;Palézieux;21 km;15kVac;Gabarit continental;;
Palézieux;Romont;19 km;15kVac;Gabarit continental;;
Lausanne;Romont;40 km;15kVac;Gabarit continental;;
Romont;Fribourg;26 km;15kVac;Gabarit continental;;
Lausanne;Fribourg;60 km;15kVac;Gabarit continental;;
Fribourg;Bern;31 km;15kVac;Gabarit continental;;
Lausanne;Bern;96 km;15kVac;Gabarit continental;;
Bern;Olten;62 km;15kVac;Gabarit continental;;
Fribourg;Olten;93 km;15kVac;Gabarit continental;;
Bâle-CFF/SNCF;Olten;38 km;15kVac;Gabarit continental;;
Bâle-CFF/SNCF;Bern;101 km;15kVac;Gabarit continental;;
Olten;Aarau;13 km;15kVac;Gabarit continental;;
Aarau;Rupperswil;6 km;15kVac;Gabarit continental;;
Rupperswil;Lenzburg;4 km;15kVac;Gabarit continental;;
Lenzburg;Othmarsingen;4 km;15kVac;Gabarit continental;;
Othmarsingen;Killwangen-Spreitenbach;12 km;15kVac;Gabarit continental;;
Killwangen-Spreitenbach;Zürich HB;16 km;15kVac;Gabarit continental;;
Bern;Aarau;76 km;15kVac;Gabarit continental;;
Bâle-CFF/SNCF;Aarau;51 km;15kVac;Gabarit continental;;
Olten;Lenzburg;23 km;15kVac;Gabarit continental;;
Aarau;Lenzburg;10 km;15kVac;Gabarit continental;;
Bâle-CFF/SNCF;Lenzburg;61 km;15kVac;Gabarit continental;;
Bern;Lenzburg;78 km;15kVac;Gabarit continental;;
Lenzburg;Zürich HB;32 km;15kVac;Gabarit continental;;
Bâle-CFF/SNCF;Zürich HB;92 km;15kVac;Gabarit continental;;
Bern;Zürich HB;109 km;15kVac;Gabarit continental;;
Perpignan;Cerbère;41 km;1.5kVcc;Gabarit continental;;
Cerbère;Portbou;2 km;1.5kVcc;Gabarit continental;Ligne SNCF;
Cerbère;Portbou;2 km;3kVcc;Ecartement iberique;Línea Renfe;
Perpignan;Portbou;43 km;1.5kVcc;Gabarit continental;;
Portbou;Figueras;26 km;3kVcc;Ecartement iberique;;
Cerbère;Figueras;28 km;3kVcc;Ecartement iberique;;
Massy;Versailles-Chantiers;15 km;1.5kVcc;Gabarit continental;;
Figueras;Girona;41 km;3kVcc;Ecartement iberique;;
Pont de Rungis / Aéroport d\'Orly;Les Saules;2 km;1.5kVcc;Gabarit continental;;
Juvisy;Les Saules;7 km;1.5kVcc;Gabarit continental;;
Sucy-Bonneuil;Les Saules;8 km;1.5kVcc;Gabarit continental;;
Massy;Sucy-Bonneuil;20 km;1.5kVcc;Gabarit continental;;
Juvisy;Sucy-Bonneuil;15 km;1.5kVcc;Gabarit continental;Par ligne de Massy à Choisy-le-Roi;
Juvisy;Sucy-Bonneuil;15 km;1.5kVcc;Gabarit continental;Par Grande Ceinture;
Boissy St Léger;Sucy-Bonneuil;2 km;1.5kVcc;Gabarit continental;;
Versailles-Chantiers;St-Cyr;5 km;1.5kVcc;Gabarit continental;;
Versailles-Chantiers;Noisy-le-Roi;10 km;Non-electrifie;Gabarit continental;;
Noisy-le-Roi;St-Nom-la-Bretèche;3 km;Non-electrifie;Gabarit continental;;
St-Nom-la-Bretèche;St-Germain Grande Ceinture;6 km;Non-electrifie;Gabarit continental;;
Noisy-le-Roi;St-Germain Grande Ceinture;9 km;Non-electrifie;Gabarit continental;;
St-Germain Grande Ceinture;Achères - Grand-Cormier;8 km;Non-electrifie;Gabarit continental;;
Achères - Grand-Cormier;Poissy;4 km;25kVac;Gabarit continental;;
Achères - Grand-Cormier;Sartrouville;6 km;25kVac;Gabarit continental;;
Sartrouville;Val d\'Argenteuil;6 km;25kVac;Gabarit continental;;
Val d\'Argenteuil;Argenteuil;3 km;25kVac;Gabarit continental;;
Sartrouville;Argenteuil;9 km;25kVac;Gabarit continental;;
Val d\'Argenteuil;Épinay-sur-Seine;6 km;25kVac;Gabarit continental;;
Sartrouville;Épinay-sur-Seine;12 km;25kVac;Gabarit continental;;
Épinay-sur-Seine;Épinay-Villetaneuse;2 km;25kVac;Gabarit continental;;
Épinay-Villetaneuse;Pierrefitte-Stains;4 km;25kVac;Gabarit continental;;
Pierrefitte-Stains;Le Bourget;5 km;25kVac;Gabarit continental;;
Épinay-sur-Seine;Le Bourget;11 km;25kVac;Gabarit continental;;
Le Bourget;Noisy-le-Sec;5 km;25kVac;Gabarit continental;;
Noisy-le-Sec;Val de Fontenay;6 km;25kVac;Gabarit continental;;
Val de Fontenay;Nogent le Perreux;2 km;25kVac;Gabarit continental;;
Noisy-le-Sec;Nogent le Perreux;7 km;25kVac;Gabarit continental;;
Sucy-Bonneuil;Nogent le Perreux;8 km;1.5kVcc & 25kVac;Gabarit continental;;
Massy;Orsay-Ville;7 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Sucy-Bonneuil;19 km;1.5kVcc;Gabarit continental;;
Paris Nation;Sucy-Bonneuil;17 km;1.5kVcc;Gabarit continental;;
Orsay-Ville;St Rémy lès Chevreuse;9 km;1.5kVcc;Gabarit continental;;
Massy;St Rémy lès Chevreuse;16 km;1.5kVcc;Gabarit continental;;
St-Cyr;Plaisir-Grignon;11 km;1.5kVcc;Gabarit continental;;
Plaisir-Grignon;Épône-Mézières;20 km;1.5kVcc & 25kVac;Gabarit continental;;
Plaisir-Grignon;Aubergenville-Élisabethville;20 km;1.5kVcc & 25kVac;Gabarit continental;;
Mantes-la-Jolie;Épône-Mézières;9 km;25kVac;Gabarit continental;;
Mantes-la-Jolie;St-Cyr;39 km;1.5kVcc & 25kVac;Gabarit continental;;
Versailles-Chantiers;Mantes-la-Jolie;44 km;1.5kVcc & 25kVac;Gabarit continental;;
St-Cyr;St-Quentin-en-Yvelines;3 km;1.5kVcc;Gabarit continental;;
Versailles-Chantiers;St-Quentin-en-Yvelines;7 km;1.5kVcc;Gabarit continental;;
St-Quentin-en-Yvelines;La Verrière;8 km;1.5kVcc;Gabarit continental;;
St-Cyr;La Verrière;11 km;1.5kVcc;Gabarit continental;;
Versailles-Chantiers;La Verrière;16 km;1.5kVcc;Gabarit continental;;
La Verrière;Rambouillet;16 km;1.5kVcc;Gabarit continental;;
Versailles-Chantiers;Rambouillet;31 km;1.5kVcc;Gabarit continental;;
Paris Montparnasse;Rambouillet;48 km;1.5kVcc;Gabarit continental;;
Chartres;Rambouillet;39 km;1.5kVcc;Gabarit continental;;
Chartres;Nogent-le-Rotrou;61 km;1.5kVcc;Gabarit continental;;
Nogent-le-Rotrou;Connerré-Beillé;39 km;1.5kVcc;Gabarit continental;;
Le Mans;Connerré-Beillé;24 km;1.5kVcc;Gabarit continental;;
Le Mans;Nogent-le-Rotrou;63 km;1.5kVcc;Gabarit continental;;
Connerré-Beillé;Bonnétable;17 km;Non-electrifie;Gabarit continental;;
Épône-Mézières;Aubergenville-Élisabethville;3 km;25kVac;Gabarit continental;;
Poissy;Aubergenville-Élisabethville;20 km;25kVac;Gabarit continental;;
Mantes-la-Jolie;Poissy;31 km;25kVac;Gabarit continental;;
Nanterre-Université;Sartrouville;5 km;25kVac;Gabarit continental;;
Paris St-Lazare;Sartrouville;13 km;25kVac;Gabarit continental;;
Ermont-Eaubonne;Épinay-sur-Seine;5 km;Non-electrifie;Gabarit continental;;
Épinay-sur-Seine;St Ouen;6 km;Non-electrifie;Gabarit continental;;
St Ouen;Neuilly - Porte Maillot;5 km;Non-electrifie;Gabarit continental;;
Pont-Cardinet;Neuilly - Porte Maillot;3 km;750Vcc 3eme rail;Gabarit continental;;
Neuilly - Porte Maillot;Auteuil-Boulogne;4 km;750Vcc 3eme rail;Gabarit continental;;
Pont-Cardinet;Auteuil-Boulogne;7 km;750Vcc 3eme rail;Gabarit continental;;
Invalides;Champ de Mars;2 km;1.5kVcc;Gabarit continental;;
Issy Plaine/Val-de-Seine;Champ de Mars;4 km;1.5kVcc;Gabarit continental;;
Épinay-Villetaneuse;St Denis;3 km;25kVac;Gabarit continental;;
Paris Nord;St Denis;6 km;25kVac;Gabarit continental;;
Paris Nord;Épinay-Villetaneuse;9 km;25kVac;Gabarit continental;;
Ermont-Eaubonne;Épinay-Villetaneuse;5 km;25kVac;Gabarit continental;;
Ermont-Eaubonne;Montigny-Beauchamp;6 km;25kVac;Gabarit continental;;
Pontoise;Montigny-Beauchamp;9 km;25kVac;Gabarit continental;;
Ermont-Eaubonne;Pontoise;15 km;25kVac;Gabarit continental;;
Pierrefitte-Stains;St Denis;4 km;25kVac;Gabarit continental;;
Paris Nord;Pierrefitte-Stains;10 km;25kVac;Gabarit continental;;
Aulnay sous Bois;Le Bourget;5 km;25kVac;Gabarit continental;;
Paris Nord;Le Bourget;9 km;25kVac;Gabarit continental;;
Aéroport Charles de Gaulle;Le Bourget;20 km;25kVac;Gabarit continental;;
Bondy;Noisy-le-Sec;1 km;25kVac;Gabarit continental;;
Paris Est;Noisy-le-Sec;11 km;25kVac;Gabarit continental;;
Paris Nation;Val de Fontenay;7 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Val de Fontenay;9 km;1.5kVcc;Gabarit continental;;
Stuttgart Hbf;Stuttgart-Schwabstraße;3 km;15kVac;Gabarit continental;;
Stuttgart-Rohr;Echterdingen;6 km;15kVac;Gabarit continental;;
Echterdingen;Bernhausen;4 km;750Vcc catenaires;Tram;;
Stuttgart Hbf;Stuttgart-Rohr;11 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Echterdingen;17 km;15kVac;Gabarit continental;;
Stuttgart-Rohr;Böblingen;9 km;15kVac;Gabarit continental;;
Böblingen;Herrenberg;16 km;15kVac;Gabarit continental;;
Stuttgart-Rohr;Herrenberg;25 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Böblingen;21 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Herrenberg;36 km;15kVac;Gabarit continental;;
Clermont-Ferrand;Volvic;20 km;Non-electrifie;Gabarit continental;;
Volvic;Laqueuille;44 km;Non-electrifie;Gabarit continental;;
Laqueuille;Eygurande-Merlines;22 km;Non-electrifie;Gabarit continental;;
Eygurande-Merlines;Ussel;18 km;Non-electrifie;Gabarit continental;;
Ussel;Meymac;13 km;Non-electrifie;Gabarit continental;;
Meymac;Tulle;54 km;Non-electrifie;Gabarit continental;;
Brive-la-Gaillarde;Tulle;26 km;Non-electrifie;Gabarit continental;;
Brive-la-Gaillarde;Niversac;61 km;Non-electrifie;Gabarit continental;;
Périgueux;Niversac;11 km;Non-electrifie;Gabarit continental;;
Périgueux;Mussidan;36 km;Non-electrifie;Gabarit continental;;
Coutras;Mussidan;40 km;Non-electrifie;Gabarit continental;;
Périgueux;Coutras;76 km;Non-electrifie;Gabarit continental;;
Brive-la-Gaillarde;Périgueux;72 km;Non-electrifie;Gabarit continental;;
Brive-la-Gaillarde;Ussel;93 km;Non-electrifie;Gabarit continental;;
Clermont-Ferrand;Ussel;104 km;Non-electrifie;Gabarit continental;;
Poitiers;St-Maixent;53 km;Non-electrifie;Gabarit continental;;
St-Maixent;Niort;23 km;Non-electrifie;Gabarit continental;;
Niort;Surgères;34 km;Non-electrifie;Gabarit continental;;
La Rochelle-Ville;Surgères;33 km;Non-electrifie;Gabarit continental;;
Poitiers;Niort;76 km;Non-electrifie;Gabarit continental;;
La Rochelle-Ville;Niort;67 km;Non-electrifie;Gabarit continental;;
La Rochelle-Ville;Poitiers;144 km;Non-electrifie;Gabarit continental;;
Limoges-Bénédictins;Eymoutiers-Vassivière;49 km;Non-electrifie;Gabarit continental;;
Meymac;Eymoutiers-Vassivière;50 km;Non-electrifie;Gabarit continental;;
Limoges-Bénédictins;Meymac;99 km;Non-electrifie;Gabarit continental;;
Lille Flandres;Croix-Wasquehal;7 km;25kVac;Gabarit continental;;
Croix-Wasquehal;Roubaix;3 km;25kVac;Gabarit continental;;
Roubaix;Tourcoing;3 km;25kVac;Gabarit continental;;
Tourcoing;Mouscron;5 km;25kVac;Gabarit continental;;
Mouscron;Kortrijk;12 km;3kVcc;Gabarit continental;;
Lille Flandres;Roubaix;10 km;25kVac;Gabarit continental;;
Lille Flandres;Tourcoing;12 km;25kVac;Gabarit continental;;
Tourcoing;Kortrijk;14 km;3kVcc & 25kVac;Gabarit continental;;
Lille Flandres;Kortrijk;27 km;3kVcc & 25kVac;Gabarit continental;;
Nantes;La Chapelle-sur-Erdre;11 km;Non-electrifie;Gabarit continental;;
La Chapelle-sur-Erdre;Châteaubriant;52 km;Non-electrifie;Gabarit continental;;
Nantes;Châteaubriant;64 km;Non-electrifie;Gabarit continental;;
Châteaubriant;Retiers;27 km;Non-electrifie;Gabarit continental;;
Retiers;Janzé;10 km;Non-electrifie;Gabarit continental;;
Rennes;Janzé;24 km;Non-electrifie;Gabarit continental;;
Rennes;Retiers;34 km;Non-electrifie;Gabarit continental;;
Rennes;Châteaubriant;60 km;Non-electrifie;Gabarit continental;;
Épernay;Reims;30 km;25kVac;Gabarit continental;;
Châlons-en-Champagne;St-Hilaire-au-Temple;16 km;Non-electrifie;Gabarit continental;;
Reims;St-Hilaire-au-Temple;40 km;Non-electrifie;Gabarit continental;;
Châlons-en-Champagne;Reims;56 km;Non-electrifie;Gabarit continental;;
Culoz;Aix-les-Bains;22 km;1.5kVcc;Gabarit continental;;
Chambéry-Challes les Eaux;Aix-les-Bains;14 km;1.5kVcc;Gabarit continental;;
Chambéry-Challes les Eaux;Montmélian;13 km;1.5kVcc;Gabarit continental;;
Montmélian;St-Pierre-d\'Albigny;11 km;1.5kVcc;Gabarit continental;;
St Jean de Maurienne;St-Pierre-d\'Albigny;46 km;1.5kVcc;Gabarit continental;;
Montmélian;Grenoble-Gières;43 km;Non-electrifie;Gabarit continental;;
Grenoble-Gières;Grenoble;11 km;Non-electrifie;Gabarit continental;;
Montmélian;Grenoble;54 km;Non-electrifie;Gabarit continental;;
Chambéry-Challes les Eaux;Grenoble;68 km;Non-electrifie;Gabarit continental;;
Aix-les-Bains;Annecy;40 km;25kVac;Gabarit continental;;
Annecy;La Roche sur Foron;38 km;25kVac;Gabarit continental;;
La Roche sur Foron;Annemasse;17 km;25kVac;Gabarit continental;;
Annecy;Annemasse;55 km;25kVac;Gabarit continental;;
Chambéry-Challes les Eaux;Annecy;54 km;1.5kVcc & 25kVac;Gabarit continental;;
St-Pierre-d\'Albigny;Albertville;24 km;Non-electrifie;Gabarit continental;;
Albertville;Bourg St Maurice;57 km;Non-electrifie;Gabarit continental;;
Chambéry-Challes les Eaux;Albertville;48 km;Non-electrifie;Gabarit continental;;
Chambéry-Challes les Eaux;St André le Gaz;42 km;25kVac;Gabarit continental;;
Lyon Perrache;Vénissieux;8 km;1.5kVcc;Gabarit continental;;
Lyon Part-Dieu;Vénissieux;8 km;1.5kVcc;Gabarit continental;;
Lyon Brotteaux;Vénissieux;8 km;Non-electrifie;Gabarit continental;;
Vénissieux;Bourgoin-Jallieu;63 km;1.5kVcc & 25kVac;Gabarit continental;;
St André le Gaz;Bourgoin-Jallieu;22 km;25kVac;Gabarit continental;;
St André le Gaz;Rives;31 km;25kVac;Gabarit continental;;
Rives;Moirans;17 km;25kVac;Gabarit continental;;
Grenoble;Moirans;18 km;25kVac;Gabarit continental;;
Lyon Perrache;Bourgoin-Jallieu;71 km;1.5kVcc & 25kVac;Gabarit continental;;
Lyon Part-Dieu;Bourgoin-Jallieu;71 km;1.5kVcc & 25kVac;Gabarit continental;;
Lyon Brotteaux;Bourgoin-Jallieu;71 km;Non-electrifie;Gabarit continental;;
Lyon Perrache;St André le Gaz;93 km;1.5kVcc & 25kVac;Gabarit continental;;
Lyon Part-Dieu;St André le Gaz;93 km;1.5kVcc & 25kVac;Gabarit continental;;
Lyon Brotteaux;St André le Gaz;93 km;Non-electrifie;Gabarit continental;;
Lyon Perrache;Chambéry-Challes les Eaux;135 km;1.5kVcc & 25kVac;Gabarit continental;Par St-André-le-Gaz;
Lyon Part-Dieu;Chambéry-Challes les Eaux;135 km;1.5kVcc & 25kVac;Gabarit continental;Par St-André-le-Gaz;
Lyon Brotteaux;Chambéry-Challes les Eaux;135 km;Non-electrifie;Gabarit continental;Par St-André-le-Gaz;
Grenoble;St André le Gaz;67 km;25kVac;Gabarit continental;;
Lyon Part-Dieu;Grenoble;161 km;1.5kVcc & 25kVac;Gabarit continental;;
Lyon Brotteaux;Grenoble;161 km;Non-electrifie;Gabarit continental;;
Lyon Perrache;Grenoble;161 km;1.5kVcc & 25kVac;Gabarit continental;;
Mainz Hbf;Bingen am Rhein Hbf;30 km;15kVac;Gabarit continental;;
Bingen am Rhein Hbf;Boppard Hbf;41 km;15kVac;Gabarit continental;;
Boppard Hbf;Koblenz Hbf;19 km;15kVac;Gabarit continental;;
Koblenz Hbf;Koblenz Lützel;2 km;15kVac;Gabarit continental;;
Koblenz Lützel;Andernach;16 km;15kVac;Gabarit continental;;
Andernach;Remagen;21 km;15kVac;Gabarit continental;;
Remagen;Bonn Mehlem;11 km;15kVac;Gabarit continental;;
Bonn Mehlem;Bonn Hbf;9 km;15kVac;Gabarit continental;;
Bonn Hbf;Köln Hbf;33 km;15kVac;Gabarit continental;;
Köln Hbf;Köln Messe/Deutz;1 km;15kVac;Gabarit continental;;
Köln Messe/Deutz;Troisdorf;19 km;15kVac;Gabarit continental;;
Troisdorf;Siegburg/Bonn;4 km;15kVac;Gabarit continental;;
Mainz Hbf;Koblenz Hbf;90 km;15kVac;Gabarit continental;;
Koblenz Hbf;Andernach;18 km;15kVac;Gabarit continental;;
Koblenz Hbf;Bonn Hbf;59 km;15kVac;Gabarit continental;;
Mainz Hbf;Bonn Hbf;149 km;15kVac;Gabarit continental;;
Koblenz Hbf;Köln Hbf;92 km;15kVac;Gabarit continental;;
Mainz Hbf;Köln Hbf;182 km;15kVac;Gabarit continental;;
Köln Hbf;Troisdorf;20 km;15kVac;Gabarit continental;;
Köln Hbf;Siegburg/Bonn;24 km;15kVac;Gabarit continental;;
Frankfurt am Main Hbf;Bonn Hbf;187 km;15kVac;Gabarit continental;;
Frankfurt am Main Hbf;Köln Hbf;195 km;15kVac;Gabarit continental;;
Frankfurt am Main Flughafen;Bonn Hbf;177 km;15kVac;Gabarit continental;;
Frankfurt am Main Flughafen;Köln Hbf;210 km;15kVac;Gabarit continental;;
Redon;Questembert;29 km;Non-electrifie;Gabarit continental;;
Questembert;Vannes;25 km;Non-electrifie;Gabarit continental;;
Redon;Vannes;54 km;Non-electrifie;Gabarit continental;;
Nantes;Vannes;135 km;Non-electrifie;Gabarit continental;;
Vannes;Auray;19 km;Non-electrifie;Gabarit continental;;
Auray;Quiberon;27 km;Non-electrifie;Gabarit continental;;
Auray;Lorient;35 km;Non-electrifie;Gabarit continental;;
Vannes;Lorient;54 km;Non-electrifie;Gabarit continental;;
Redon;Lorient;108 km;Non-electrifie;Gabarit continental;;
Nantes;Lorient;189 km;Non-electrifie;Gabarit continental;;
Lorient;Rosporden;45 km;Non-electrifie;Gabarit continental;;
Rosporden;Quimper;20 km;Non-electrifie;Gabarit continental;;
Lorient;Quimper;65 km;Non-electrifie;Gabarit continental;;
Redon;Quimper;173 km;Non-electrifie;Gabarit continental;;
Nantes;Quimper;254 km;Non-electrifie;Gabarit continental;;
Quimper;Châteaulin-Embranchement;30 km;Non-electrifie;Gabarit continental;;
Châteaulin-Embranchement;Landerneau;54 km;Non-electrifie;Gabarit continental;;
Quimper;Landerneau;84 km;Non-electrifie;Gabarit continental;;
Brest;Landerneau;19 km;Non-electrifie;Gabarit continental;;
Brest;Quimper;103 km;Non-electrifie;Gabarit continental;;
Morlaix;Landerneau;41 km;Non-electrifie;Gabarit continental;;
Annemasse;Genève Eaux-Vives;6 km;Non-electrifie;Gabarit continental;;
Le Mans;Alençon;56 km;Non-electrifie;Gabarit continental;;
Alençon;Surdon;28 km;Non-electrifie;Gabarit continental;;
Surdon;Argentan;15 km;Non-electrifie;Gabarit continental;;
Argentan;Mézidon;43 km;Non-electrifie;Gabarit continental;;
Plaisir-Grignon;Dreux;49 km;25kVac;Gabarit continental;;
Surdon;Dreux;101 km;Non-electrifie;Gabarit continental;;
Argentan;Folligny;116 km;Non-electrifie;Gabarit continental;;
